Date,Open,High,Low,Close,Adj Close,Volume
2023-01-12,17920.849609,17945.800781,17761.650391,17858.199219,17858.199219,227800
2023-01-13,17867.500000,17999.349609,17774.250000,17956.599609,17956.599609,256700
2023-01-16,18033.150391,18049.650391,17853.650391,17894.849609,17894.849609,206200
2023-01-17,17922.800781,18072.050781,17886.949219,18053.300781,18053.300781,219100
2023-01-18,18074.300781,18183.750000,18032.449219,18165.349609,18165.349609,255800
2023-01-19,18119.800781,18155.199219,18063.750000,18107.849609,18107.849609,237800
2023-01-20,18115.599609,18145.449219,18016.199219,18027.650391,18027.650391,237200
2023-01-23,18118.449219,18162.599609,18063.449219,18118.550781,18118.550781,202500
2023-01-24,18183.949219,18201.250000,18078.650391,18118.300781,18118.300781,216900
2023-01-25,18093.349609,18100.599609,17846.150391,17891.949219,17891.949219,257200
2023-01-27,17877.199219,17884.750000,17493.550781,17604.349609,17604.349609,476300
2023-01-30,17541.949219,17709.150391,17405.550781,17648.949219,17648.949219,432400
2023-01-31,17731.449219,17735.699219,17537.550781,17662.150391,17662.150391,398300
2023-02-01,17811.599609,17972.199219,17353.400391,17616.300781,17616.300781,512900
2023-02-02,17517.099609,17653.900391,17445.949219,17610.400391,17610.400391,490100
2023-02-03,17721.750000,17870.300781,17584.199219,17854.050781,17854.050781,424100
2023-02-06,17818.550781,17823.699219,17698.349609,17764.599609,17764.599609,282500
2023-02-07,17790.099609,17811.150391,17652.550781,17721.500000,17721.500000,354400
2023-02-08,17750.300781,17898.699219,17744.150391,17871.699219,17871.699219,291000
2023-02-09,17885.500000,17916.900391,17779.800781,17893.449219,17893.449219,260900
2023-02-10,17847.550781,17876.949219,17801.000000,17856.500000,17856.500000,232000
2023-02-13,17859.099609,17880.699219,17719.750000,17770.900391,17770.900391,231300
2023-02-14,17840.349609,17954.550781,17800.050781,17929.849609,17929.849609,244500
2023-02-15,17896.599609,18034.099609,17853.800781,18015.849609,18015.849609,229300
2023-02-16,18094.750000,18134.750000,18000.650391,18035.849609,18035.849609,230200
2023-02-17,17974.849609,18034.250000,17884.599609,17944.199219,17944.199219,208100
2023-02-20,17965.550781,18004.349609,17818.400391,17844.599609,17844.599609,174600
2023-02-21,17905.800781,17924.900391,17800.300781,17826.699219,17826.699219,198200
2023-02-22,17755.349609,17772.500000,17529.449219,17554.300781,17554.300781,204000
2023-02-23,17574.650391,17620.050781,17455.400391,17511.250000,17511.250000,240800
2023-02-24,17591.349609,17599.750000,17421.800781,17465.800781,17465.800781,209400
2023-02-27,17428.599609,17451.599609,17299.000000,17392.699219,17392.699219,246400
2023-02-28,17383.250000,17440.449219,17255.199219,17303.949219,17303.949219,420900
2023-03-01,17360.099609,17467.750000,17345.250000,17450.900391,17450.900391,272900
2023-03-02,17421.500000,17445.800781,17306.000000,17321.900391,17321.900391,310700
2023-03-03,17451.250000,17644.750000,17427.699219,17594.349609,17594.349609,356200
2023-03-06,17680.349609,17799.949219,17671.949219,17711.449219,17711.449219,362800
2023-03-08,17665.750000,17766.500000,17602.250000,17754.400391,17754.400391,267000
2023-03-09,17772.050781,17772.349609,17573.599609,17589.599609,17589.599609,262400
2023-03-10,17443.800781,17451.500000,17324.349609,17412.900391,17412.900391,235900
2023-03-13,17421.900391,17529.900391,17113.449219,17154.300781,17154.300781,254900
2023-03-14,17160.550781,17224.650391,16987.099609,17043.300781,17043.300781,290600
2023-03-15,17166.449219,17211.349609,16938.900391,16972.150391,16972.150391,248200
2023-03-16,16994.650391,17062.449219,16850.150391,16985.599609,16985.599609,349800
2023-03-17,17111.800781,17145.800781,16958.150391,17100.050781,17100.050781,408100
2023-03-20,17066.599609,17066.599609,16828.349609,16988.400391,16988.400391,241800
2023-03-21,17060.400391,17127.699219,17016.000000,17107.500000,17107.500000,246700
2023-03-22,17177.449219,17207.250000,17107.849609,17151.900391,17151.900391,0
2023-03-23,17097.400391,17205.400391,17045.300781,17076.900391,17076.900391,219200
2023-03-24,17076.199219,17109.449219,16917.349609,16945.050781,16945.050781,228000
2023-03-27,16984.300781,17091.000000,16918.550781,16985.699219,16985.699219,218400
2023-03-28,17031.750000,17061.750000,16913.750000,16951.699219,16951.699219,238800
2023-03-29,16977.300781,17126.150391,16940.599609,17080.699219,17080.699219,345900
2023-03-31,17210.349609,17381.599609,17204.650391,17359.750000,17359.750000,263900
2023-04-03,17427.949219,17428.050781,17312.750000,17398.050781,17398.050781,230200
2023-04-05,17422.300781,17570.550781,17402.699219,17557.050781,17557.050781,248300
2023-04-06,17533.849609,17638.699219,17502.849609,17599.150391,17599.150391,242700
2023-04-10,17634.900391,17694.099609,17597.949219,17624.050781,17624.050781,254800
2023-04-11,17704.800781,17748.750000,17655.150391,17722.300781,17722.300781,304300
2023-04-12,17759.550781,17825.750000,17717.250000,17812.400391,17812.400391,232800
2023-04-13,17807.300781,17842.150391,17729.650391,17828.000000,17828.000000,285800
2023-04-17,17863.000000,17863.000000,17574.050781,17706.849609,17706.849609,357400
2023-04-18,17766.599609,17766.599609,17610.199219,17660.150391,17660.150391,258900
2023-04-19,17653.349609,17666.150391,17579.849609,17618.750000,17618.750000,281500
2023-04-20,17638.599609,17684.449219,17584.349609,17624.449219,17624.449219,215100
2023-04-21,17639.750000,17663.199219,17553.949219,17624.050781,17624.050781,230200
2023-04-24,17707.550781,17754.500000,17612.500000,17743.400391,17743.400391,255700
2023-04-25,17761.550781,17807.449219,17716.849609,17769.250000,17769.250000,297400
2023-04-26,17767.300781,17827.750000,17711.199219,17813.599609,17813.599609,233000
2023-04-27,17813.099609,17931.599609,17797.900391,17915.050781,17915.050781,241400
2023-04-28,17950.400391,18089.150391,17885.300781,18065.000000,18065.000000,290300
2023-05-02,18124.800781,18180.250000,18101.750000,18147.650391,18147.650391,265200
2023-05-03,18113.800781,18116.349609,18042.400391,18089.849609,18089.849609,226200
2023-05-04,18081.000000,18267.449219,18066.699219,18255.800781,18255.800781,226600
2023-05-05,18117.300781,18216.949219,18055.449219,18069.000000,18069.000000,239700
2023-05-08,18120.599609,18286.949219,18100.300781,18264.400391,18264.400391,228400
2023-05-09,18303.400391,18344.199219,18229.650391,18265.949219,18265.949219,245400
2023-05-10,18313.599609,18326.750000,18211.949219,18315.099609,18315.099609,220500
2023-05-11,18357.800781,18389.699219,18270.400391,18297.000000,18297.000000,248900
2023-05-12,18273.750000,18342.750000,18194.550781,18314.800781,18314.800781,241700
2023-05-15,18339.300781,18458.900391,18287.900391,18398.849609,18398.849609,216100
2023-05-16,18432.349609,18432.349609,18264.349609,18286.500000,18286.500000,219500
2023-05-17,18300.449219,18309.000000,18115.349609,18181.750000,18181.750000,229900
2023-05-18,18287.500000,18297.199219,18104.849609,18129.949219,18129.949219,272100
2023-05-19,18186.150391,18218.099609,18060.400391,18203.400391,18203.400391,260900
2023-05-22,18201.099609,18335.250000,18178.849609,18314.400391,18314.400391,262600
2023-05-23,18362.900391,18419.750000,18324.199219,18348.000000,18348.000000,270400
2023-05-24,18294.800781,18392.599609,18262.949219,18285.400391,18285.400391,232600
2023-05-25,18268.900391,18338.099609,18202.400391,18321.150391,18321.150391,235900
2023-05-26,18368.349609,18508.550781,18333.150391,18499.349609,18499.349609,198700
2023-05-29,18619.150391,18641.199219,18581.250000,18598.650391,18598.650391,265300
2023-05-30,18606.650391,18662.449219,18575.500000,18633.849609,18633.849609,234400
2023-05-31,18594.199219,18603.900391,18483.849609,18534.400391,18534.400391,696500
2023-06-01,18579.400391,18580.300781,18464.550781,18487.750000,18487.750000,265600
2023-06-02,18550.849609,18573.699219,18478.400391,18534.099609,18534.099609,270900
2023-06-05,18612.000000,18640.150391,18582.800781,18593.849609,18593.849609,256100
2023-06-06,18600.800781,18622.750000,18531.599609,18599.000000,18599.000000,220800
2023-06-07,18665.599609,18738.949219,18636.000000,18726.400391,18726.400391,260100
2023-06-08,18725.349609,18777.900391,18615.599609,18634.550781,18634.550781,286500
2023-06-09,18655.900391,18676.650391,18555.400391,18563.400391,18563.400391,221800
2023-06-12,18595.050781,18633.599609,18559.750000,18601.500000,18601.500000,179500
2023-06-13,18631.800781,18728.900391,18631.800781,18716.150391,18716.150391,233200
2023-06-14,18744.599609,18769.699219,18690.000000,18755.900391,18755.900391,261400
2023-06-15,18774.449219,18794.099609,18669.050781,18688.099609,18688.099609,263000
2023-06-16,18723.300781,18864.699219,18710.500000,18826.000000,18826.000000,272800
2023-06-19,18873.300781,18881.449219,18719.150391,18755.449219,18755.449219,219800
2023-06-20,18752.349609,18839.699219,18660.650391,18816.699219,18816.699219,211600
2023-06-21,18849.400391,18875.900391,18794.849609,18856.849609,18856.849609,217500
2023-06-22,18853.599609,18886.599609,18759.500000,18771.250000,18771.250000,252700
2023-06-23,18741.849609,18756.400391,18647.099609,18665.500000,18665.500000,210600
2023-06-26,18682.349609,18722.050781,18646.699219,18691.199219,18691.199219,171300
2023-06-27,18748.550781,18829.250000,18714.250000,18817.400391,18817.400391,222500
2023-06-28,18908.150391,19011.250000,18861.349609,18972.099609,18972.099609,398800
2023-06-30,19076.849609,19201.699219,19024.599609,19189.050781,19189.050781,247900
2023-07-03,19246.500000,19345.099609,19234.400391,19322.550781,19322.550781,226100
2023-07-04,19406.599609,19434.150391,19300.000000,19389.000000,19389.000000,226900
2023-07-05,19405.949219,19421.599609,19339.599609,19398.500000,19398.500000,224400
2023-07-06,19385.699219,19512.199219,19373.000000,19497.300781,19497.300781,268300
2023-07-07,19422.800781,19523.599609,19303.599609,19331.800781,19331.800781,237100
2023-07-10,19400.349609,19435.849609,19327.099609,19355.900391,19355.900391,268200
2023-07-11,19427.099609,19515.099609,19406.449219,19439.400391,19439.400391,251300
2023-07-12,19497.449219,19507.699219,19361.750000,19384.300781,19384.300781,327900
2023-07-13,19495.199219,19567.000000,19385.800781,19413.750000,19413.750000,310400
2023-07-14,19493.449219,19595.349609,19433.500000,19564.500000,19564.500000,291200
2023-07-17,19612.150391,19731.849609,19562.949219,19711.449219,19711.449219,268700
2023-07-18,19787.500000,19819.449219,19690.199219,19749.250000,19749.250000,286400
2023-07-19,19802.949219,19851.699219,19727.449219,19833.150391,19833.150391,259700
2023-07-20,19831.699219,19991.849609,19758.400391,19979.150391,19979.150391,274700
2023-07-21,19800.449219,19887.400391,19700.000000,19745.000000,19745.000000,312500
2023-07-24,19748.449219,19782.750000,19658.300781,19672.349609,19672.349609,265600
2023-07-25,19729.349609,19729.349609,19615.949219,19680.599609,19680.599609,369700
2023-07-26,19733.349609,19825.599609,19716.699219,19778.300781,19778.300781,244700
2023-07-27,19850.900391,19867.550781,19603.550781,19659.900391,19659.900391,334900
2023-07-28,19659.750000,19695.900391,19563.099609,19646.050781,19646.050781,258700
2023-07-31,19666.349609,19772.750000,19597.599609,19753.800781,19753.800781,295100
2023-08-01,19784.000000,19795.599609,19704.599609,19733.550781,19733.550781,298000
2023-08-02,19655.400391,19678.250000,19423.550781,19526.550781,19526.550781,290700
2023-08-03,19463.750000,19537.650391,19296.449219,19381.650391,19381.650391,315700
2023-08-04,19462.800781,19538.849609,19436.449219,19517.000000,19517.000000,280800
2023-08-07,19576.849609,19620.449219,19524.800781,19597.300781,19597.300781,216600
2023-08-08,19627.199219,19634.400391,19533.099609,19570.849609,19570.849609,260300
2023-08-09,19578.800781,19645.500000,19467.500000,19632.550781,19632.550781,266500
2023-08-10,19605.550781,19623.599609,19495.400391,19543.099609,19543.099609,312200
2023-08-11,19554.250000,19557.750000,19412.750000,19428.300781,19428.300781,235500
2023-08-14,19383.949219,19465.849609,19257.900391,19434.550781,19434.550781,243900
2023-08-16,19369.000000,19482.750000,19317.199219,19465.000000,19465.000000,0
2023-08-17,19450.550781,19461.550781,19326.250000,19365.250000,19365.250000,268700
2023-08-18,19301.750000,19373.800781,19253.599609,19310.150391,19310.150391,256100
2023-08-21,19320.650391,19425.949219,19296.300781,19393.599609,19393.599609,262600
2023-08-22,19417.099609,19443.500000,19381.300781,19396.449219,19396.449219,208700
2023-08-23,19439.199219,19472.050781,19366.599609,19444.000000,19444.000000,225200
2023-08-24,19535.150391,19584.449219,19369.000000,19386.699219,19386.699219,268300
2023-08-25,19297.400391,19339.550781,19229.699219,19265.800781,19265.800781,466500
2023-08-28,19298.349609,19366.849609,19249.699219,19306.050781,19306.050781,248200
2023-08-29,19374.849609,19377.900391,19309.099609,19342.650391,19342.650391,307400
2023-08-30,19433.449219,19452.800781,19334.750000,19347.449219,19347.449219,233000
2023-08-31,19375.550781,19388.199219,19223.650391,19253.800781,19253.800781,562600
2023-09-01,19258.150391,19458.550781,19255.699219,19435.300781,19435.300781,333000
2023-09-04,19525.050781,19545.150391,19432.849609,19528.800781,19528.800781,296800
2023-09-05,19564.650391,19587.050781,19525.750000,19574.900391,19574.900391,256800
2023-09-06,19581.199219,19636.449219,19491.500000,19611.050781,19611.050781,287600
2023-09-07,19598.650391,19737.000000,19550.050781,19727.050781,19727.050781,304900
2023-09-08,19774.800781,19867.150391,19727.050781,19819.949219,19819.949219,288100
2023-09-11,19890.000000,20008.150391,19865.349609,19996.349609,19996.349609,248800
2023-09-12,20110.150391,20110.349609,19914.650391,19993.199219,19993.199219,328100
2023-09-13,19989.500000,20096.900391,19944.099609,20070.000000,20070.000000,251400
2023-09-14,20127.949219,20167.650391,20043.449219,20103.099609,20103.099609,275100
2023-09-15,20156.449219,20222.449219,20129.699219,20192.349609,20192.349609,438200
2023-09-18,20155.949219,20195.349609,20115.699219,20133.300781,20133.300781,264900
2023-09-20,19980.750000,20050.650391,19878.849609,19901.400391,19901.400391,378100
2023-09-21,19840.550781,19848.750000,19709.949219,19742.349609,19742.349609,275100
2023-09-22,19744.849609,19798.650391,19657.500000,19674.250000,19674.250000,246400
2023-09-25,19678.199219,19734.150391,19601.550781,19674.550781,19674.550781,188400
2023-09-26,19682.800781,19699.349609,19637.449219,19664.699219,19664.699219,204900
2023-09-27,19637.050781,19730.699219,19554.000000,19716.449219,19716.449219,203600
2023-09-28,19761.800781,19766.650391,19492.099609,19523.550781,19523.550781,352800
2023-09-29,19581.199219,19726.250000,19551.050781,19638.300781,19638.300781,243500
2023-10-03,19622.400391,19623.199219,19479.650391,19528.750000,19528.750000,221700
2023-10-04,19446.300781,19457.800781,19333.599609,19436.099609,19436.099609,277100
2023-10-05,19521.849609,19576.949219,19487.300781,19545.750000,19545.750000,234900
2023-10-06,19621.199219,19675.750000,19589.400391,19653.500000,19653.500000,159100
2023-10-09,19539.449219,19588.949219,19480.500000,19512.349609,19512.349609,165100
2023-10-10,19565.599609,19717.800781,19565.449219,19689.849609,19689.849609,216600
2023-10-11,19767.000000,19839.199219,19756.949219,19811.349609,19811.349609,213700
2023-10-12,19822.699219,19843.300781,19772.650391,19794.000000,19794.000000,217900
2023-10-13,19654.550781,19805.400391,19635.300781,19751.050781,19751.050781,255000
2023-10-16,19737.250000,19781.300781,19691.849609,19731.750000,19731.750000,181000
2023-10-17,19843.199219,19849.750000,19775.650391,19811.500000,19811.500000,185800
2023-10-18,19820.449219,19840.949219,19659.949219,19671.099609,19671.099609,198900
2023-10-19,19545.199219,19681.800781,19512.349609,19624.699219,19624.699219,230300
2023-10-20,19542.150391,19593.800781,19518.699219,19542.650391,19542.650391,198300
2023-10-23,19521.599609,19556.849609,19257.849609,19281.750000,19281.750000,176000
2023-10-25,19286.449219,19347.300781,19074.150391,19122.150391,19122.150391,225300
2023-10-26,19027.250000,19041.699219,18837.849609,18857.250000,18857.250000,300400
2023-10-27,18928.750000,19076.150391,18926.650391,19047.250000,19047.250000,205200
2023-10-30,19053.400391,19158.500000,18940.000000,19140.900391,19140.900391,180100
2023-10-31,19232.949219,19233.699219,19056.449219,19079.599609,19079.599609,206000
2023-11-01,19064.050781,19096.050781,18973.699219,18989.150391,18989.150391,194100
2023-11-02,19120.000000,19175.250000,19064.150391,19133.250000,19133.250000,245600
2023-11-03,19241.000000,19276.250000,19210.900391,19230.599609,19230.599609,189500
2023-11-06,19345.849609,19423.000000,19309.699219,19411.750000,19411.750000,180700
2023-11-07,19404.050781,19423.500000,19329.099609,19406.699219,19406.699219,198700
2023-11-08,19449.599609,19464.400391,19401.500000,19443.500000,19443.500000,195000
2023-11-09,19457.400391,19463.900391,19378.349609,19395.300781,19395.300781,208400
2023-11-10,19351.849609,19451.300781,19329.449219,19425.349609,19425.349609,152200
2023-11-13,19486.750000,19494.400391,19414.750000,19443.550781,19443.550781,189300
2023-11-15,19651.400391,19693.199219,19579.650391,19675.449219,19675.449219,291500
2023-11-16,19674.699219,19875.250000,19627.000000,19765.199219,19765.199219,282700
2023-11-17,19674.750000,19806.000000,19667.449219,19731.800781,19731.800781,236800
2023-11-20,19731.150391,19756.449219,19670.500000,19694.000000,19694.000000,173800
2023-11-21,19770.900391,19829.099609,19754.050781,19783.400391,19783.400391,195000
2023-11-22,19784.000000,19825.550781,19703.849609,19811.849609,19811.849609,184500
2023-11-23,19828.449219,19875.150391,19786.750000,19802.000000,19802.000000,170000
2023-11-24,19809.599609,19832.849609,19768.849609,19794.699219,19794.699219,145900
2023-11-28,19844.650391,19916.849609,19800.000000,19889.699219,19889.699219,229600
2023-11-29,19976.550781,20104.650391,19956.300781,20096.599609,20096.599609,236200
2023-11-30,20108.500000,20158.699219,20015.849609,20133.150391,20133.150391,486600
2023-12-01,20194.099609,20291.550781,20183.699219,20267.900391,20267.900391,265800
2023-12-04,20601.949219,20702.650391,20507.750000,20686.800781,20686.800781,381100
2023-12-05,20808.900391,20864.050781,20711.150391,20855.099609,20855.099609,421000
2023-12-06,20950.750000,20961.949219,20852.150391,20928.699219,20928.699219,0
